index,expected,solver,result,correct,model_valid,wall_sec,user_sec,sys_sec,rss_kb,exit_code,url
42,unsat,ver3,error,0,1,1008.65,1007.85,0.67,763060,0,http://benchmark-database.de/file/de8988028668791f35a7b9f94353b5b9
43,sat,ver3,sat,1,1,570.51,570.23,0.17,86244,10,http://benchmark-database.de/file/e318e2ac78b473091c3c2197afd7fc98
44,unsat,ver3,error,0,1,1000.58,1000.24,0.23,316332,0,http://benchmark-database.de/file/ebbda8d90dfd9b6500bf932f952907a6
45,sat,ver3,sat,1,1,560.29,559.98,0.23,235104,10,http://benchmark-database.de/file/ed6d842f96d10f3400bce251f9e95bfb
46,sat,ver3,error,0,1,1001.66,1001.31,0.16,81108,0,http://benchmark-database.de/file/f33a6163305d6559043b7438a692dea9
47,unsat,ver3,error,0,1,1002.69,1001.09,1.39,2366132,0,http://benchmark-database.de/file/f6a085f3c728e53f57542e62df20e56b
48,sat,ver3,error,0,1,1000.63,1000.21,0.27,481136,0,http://benchmark-database.de/file/fae6cf26f3da1e7d8fc4926a9ca86b61
49,unsat,ver3,error,0,1,1001.03,1000.67,0.17,110692,0,http://benchmark-database.de/file/fea0f926e766ccba7c7dc261084ecbd0
0,sat,ver4,timeout,0,1,1010.22,1006.06,4.05,11053852,124,http://benchmark-database.de/file/00fd8ac9acd186a7a78a2c4d92f90de1
1,unsat,ver4,error,0,1,1001.55,1000.92,0.43,690452,0,http://benchmark-database.de/file/0205e2dffaef93a90c239df31755f2e1
2,unsat,ver4,error,0,1,1004.52,1002.44,0.78,901696,0,http://benchmark-database.de/file/0aa22564d00e9716519918d84b25c4a7
3,sat,ver4,error,0,1,1004.04,1002.07,1.85,2671820,0,http://benchmark-database.de/file/0c0430a68f147be18ab3fded07f30fdb
4,unsat,ver4,unsat,1,1,467.70,467.56,0.10,34884,20,http://benchmark-database.de/file/16ff47a05b769ed6a04c7175cfc6da55
5,sat,ver4,error,0,1,1006.07,1001.98,3.83,2954820,0,http://benchmark-database.de/file/1753a71fefceb0250a75e67b610050a0
6,unsat,ver4,error,0,1,1000.43,1000.14,0.19,142724,0,http://benchmark-database.de/file/1c30806c5aa9cd54bf823c20fa078243
7,sat,ver4,sat,1,1,260.29,260.16,0.10,28660,10,http://benchmark-database.de/file/22df1827e3253fc824cc7ce806d75e0a
8,unsat,ver4,error,0,1,1001.59,1000.45,0.45,786812,0,http://benchmark-database.de/file/27cb3a6ca772613c5998d7f78a55ba45
