index,expected,solver,result,correct,model_valid,wall_sec,user_sec,sys_sec,rss_kb,exit_code,hash,url
43,sat,ver5,sat,1,1,28.30,28.14,0.11,20232,10,e318e2ac78b473091c3c2197afd7fc98,https://benchmark-database.de/file/e318e2ac78b473091c3c2197afd7fc98?context=cnf
44,unsat,ver5,timeout,0,1,1000.84,1000.35,0.36,331072,0,ebbda8d90dfd9b6500bf932f952907a6,https://benchmark-database.de/file/ebbda8d90dfd9b6500bf932f952907a6?context=cnf
45,sat,ver5,timeout,0,1,1000.67,1000.21,0.27,317480,0,ed6d842f96d10f3400bce251f9e95bfb,https://benchmark-database.de/file/ed6d842f96d10f3400bce251f9e95bfb?context=cnf
46,sat,ver5,timeout,0,1,1001.33,1001.11,0.13,71764,0,f33a6163305d6559043b7438a692dea9,https://benchmark-database.de/file/f33a6163305d6559043b7438a692dea9?context=cnf
47,unsat,ver5,unsat,1,1,397.15,396.27,0.72,1438964,20,f6a085f3c728e53f57542e62df20e56b,https://benchmark-database.de/file/f6a085f3c728e53f57542e62df20e56b?context=cnf
48,sat,ver5,sat,1,1,349.40,349.14,0.22,298252,10,fae6cf26f3da1e7d8fc4926a9ca86b61,https://benchmark-database.de/file/fae6cf26f3da1e7d8fc4926a9ca86b61?context=cnf
49,unsat,ver5,timeout,0,1,1001.00,1000.70,0.13,83652,0,fea0f926e766ccba7c7dc261084ecbd0,https://benchmark-database.de/file/fea0f926e766ccba7c7dc261084ecbd0?context=cnf
50,unsat,ver5,unsat,1,1,496.93,496.79,0.08,47496,20,1e0d58c7e52319b3b17e343ec7ca6de5,https://benchmark-database.de/file/1e0d58c7e52319b3b17e343ec7ca6de5?context=cnf
51,sat,ver5,sat,1,1,564.61,564.13,0.30,415020,10,95abe8aeebbe88fcb0503b13109593b3,https://benchmark-database.de/file/95abe8aeebbe88fcb0503b13109593b3?context=cnf
52,unsat,ver5,unsat,1,1,631.41,630.85,0.48,1094756,20,ddc308b079b032211ac8e4ae136c2626,https://benchmark-database.de/file/ddc308b079b032211ac8e4ae136c2626?context=cnf
53,sat,ver5,sat,1,1,115.27,114.61,0.40,962236,10,3746303c659ef65aaa78f3b52cd5de49,https://benchmark-database.de/file/3746303c659ef65aaa78f3b52cd5de49?context=cnf
54,sat,ver5,sat,1,1,45.34,45.23,0.11,62284,10,53c21f3e78f060883026b5a12ba691d8,https://benchmark-database.de/file/53c21f3e78f060883026b5a12ba691d8?context=cnf
55,unsat,ver5,unsat,1,1,296.08,295.85,0.15,90832,20,efc1b7cc3861df8c2b68ca10399b794e,https://benchmark-database.de/file/efc1b7cc3861df8c2b68ca10399b794e?context=cnf
56,unsat,ver5,timeout,0,1,1001.13,1000.86,0.17,63448,0,91c429adc2dc8430461b6d87a9aef335,https://benchmark-database.de/file/91c429adc2dc8430461b6d87a9aef335?context=cnf
57,sat,ver5,timeout,0,1,1000.55,1000.16,0.22,315088,0,1b9f94befb5bc867c0e882f49973f793,https://benchmark-database.de/file/1b9f94befb5bc867c0e882f49973f793?context=cnf
58,unsat,ver5,timeout,0,1,1000.37,1000.12,0.15,150320,0,2bdfcf23ac1829912a408402a540972a,https://benchmark-database.de/file/2bdfcf23ac1829912a408402a540972a?context=cnf
59,unsat,ver5,timeout,0,1,1000.93,1000.55,0.21,331568,0,818c585e5986431917605fca8d775034,https://benchmark-database.de/file/818c585e5986431917605fca8d775034?context=cnf
60,unsat,ver5,unsat,1,1,66.53,66.47,0.07,26648,20,0ccb0f855352783a972be45188bf3164,https://benchmark-database.de/file/0ccb0f855352783a972be45188bf3164?context=cnf
61,sat,ver5,sat,1,1,108.77,107.48,0.17,188140,10,f17dfbed8c18716a41b231702e127524,https://benchmark-database.de/file/f17dfbed8c18716a41b231702e127524?context=cnf
62,unsat,ver5,unsat,1,1,107.82,107.69,0.12,133488,20,296fd43ed40e242875984420f29be73f,https://benchmark-database.de/file/296fd43ed40e242875984420f29be73f?context=cnf
63,unsat,ver5,unsat,1,1,12.94,12.80,0.11,67096,20,8f391f2bf8167f1b96467f3479b33dc5,https://benchmark-database.de/file/8f391f2bf8167f1b96467f3479b33dc5?context=cnf
64,sat,ver5,timeout,0,1,1001.06,1000.70,0.21,269400,0,f37757b26c83935780be4f814f8ea401,https://benchmark-database.de/file/f37757b26c83935780be4f814f8ea401?context=cnf
65,unsat,ver5,timeout,0,1,1003.17,1002.64,0.39,435940,0,fc67d414ea20a0ffffc087d7577af2fe,https://benchmark-database.de/file/fc67d414ea20a0ffffc087d7577af2fe?context=cnf
66,unsat,ver5,timeout,0,1,1001.52,1001.17,0.16,89976,0,dbb42e010bed2259e4e27bc43e4d86c6,https://benchmark-database.de/file/dbb42e010bed2259e4e27bc43e4d86c6?context=cnf
67,sat,ver5,timeout,0,1,1000.94,1000.56,0.18,99412,0,4e3195a382f5af213444736fcc8b364f,https://benchmark-database.de/file/4e3195a382f5af213444736fcc8b364f?context=cnf
68,sat,ver5,sat,1,1,12.65,12.54,0.12,112892,10,1d18837c0ced5c18a3a4693993e61728,https://benchmark-database.de/file/1d18837c0ced5c18a3a4693993e61728?context=cnf
69,sat,ver5,error,0,1,48.92,0.22,8.75,5809788,134,ee5fb3e181571740adb8444bd052dbdc,https://benchmark-database.de/file/ee5fb3e181571740adb8444bd052dbdc?context=cnf
70,sat,ver5,sat,1,1,22.91,22.79,0.13,133304,10,d89fc3e9c24e0383e940464f4704657e,https://benchmark-database.de/file/d89fc3e9c24e0383e940464f4704657e?context=cnf
