index,source,expected,solver,result,correct,model_valid,wall_sec,user_sec,sys_sec,rss_kb,exit_code,hash,url
53,new,sat,minisat,sat,1,1,18.52,18.23,0.29,886224,10,3746303c659ef65aaa78f3b52cd5de49,https://benchmark-database.de/file/3746303c659ef65aaa78f3b52cd5de49?context=cnf
54,new,sat,minisat,sat,1,1,9.77,9.62,0.11,70744,10,53c21f3e78f060883026b5a12ba691d8,https://benchmark-database.de/file/53c21f3e78f060883026b5a12ba691d8?context=cnf
55,new,unsat,minisat,unsat,1,1,52.71,52.63,0.09,33004,20,efc1b7cc3861df8c2b68ca10399b794e,https://benchmark-database.de/file/efc1b7cc3861df8c2b68ca10399b794e?context=cnf
56,new,unsat,minisat,error,0,1,1000.16,999.90,0.14,31804,0,91c429adc2dc8430461b6d87a9aef335,https://benchmark-database.de/file/91c429adc2dc8430461b6d87a9aef335?context=cnf
57,new,sat,minisat,error,0,1,1000.16,999.69,0.34,1014272,0,1b9f94befb5bc867c0e882f49973f793,https://benchmark-database.de/file/1b9f94befb5bc867c0e882f49973f793?context=cnf
58,new,unsat,minisat,error,0,1,1000.19,999.74,0.28,350052,0,2bdfcf23ac1829912a408402a540972a,https://benchmark-database.de/file/2bdfcf23ac1829912a408402a540972a?context=cnf
59,new,unsat,minisat,error,0,1,1000.14,999.58,0.39,718668,0,818c585e5986431917605fca8d775034,https://benchmark-database.de/file/818c585e5986431917605fca8d775034?context=cnf
60,new,unsat,minisat,unsat,1,1,151.12,150.97,0.08,33064,20,0ccb0f855352783a972be45188bf3164,https://benchmark-database.de/file/0ccb0f855352783a972be45188bf3164?context=cnf
61,new,sat,minisat,error,0,1,1000.14,999.40,0.59,1813052,0,f17dfbed8c18716a41b231702e127524,https://benchmark-database.de/file/f17dfbed8c18716a41b231702e127524?context=cnf
62,new,unsat,minisat,error,0,1,1000.23,999.71,0.30,294196,0,296fd43ed40e242875984420f29be73f,https://benchmark-database.de/file/296fd43ed40e242875984420f29be73f?context=cnf
63,new,unsat,minisat,unsat,1,1,150.32,150.19,0.12,125352,20,8f391f2bf8167f1b96467f3479b33dc5,https://benchmark-database.de/file/8f391f2bf8167f1b96467f3479b33dc5?context=cnf
64,new,sat,minisat,error,0,1,1001.69,999.72,0.33,624460,0,f37757b26c83935780be4f814f8ea401,https://benchmark-database.de/file/f37757b26c83935780be4f814f8ea401?context=cnf
65,new,unsat,minisat,unsat,1,1,118.90,118.67,0.20,457908,20,fc67d414ea20a0ffffc087d7577af2fe,https://benchmark-database.de/file/fc67d414ea20a0ffffc087d7577af2fe?context=cnf
66,new,unsat,minisat,error,0,1,1001.21,999.89,0.12,58652,0,dbb42e010bed2259e4e27bc43e4d86c6,https://benchmark-database.de/file/dbb42e010bed2259e4e27bc43e4d86c6?context=cnf
67,new,sat,minisat,error,0,1,1000.11,999.75,0.23,195708,0,4e3195a382f5af213444736fcc8b364f,https://benchmark-database.de/file/4e3195a382f5af213444736fcc8b364f?context=cnf
68,new,sat,minisat,sat,1,1,75.45,75.15,0.19,547592,10,1d18837c0ced5c18a3a4693993e61728,https://benchmark-database.de/file/1d18837c0ced5c18a3a4693993e61728?context=cnf
69,new,sat,minisat,error,0,1,28.61,25.31,3.22,11883340,0,ee5fb3e181571740adb8444bd052dbdc,https://benchmark-database.de/file/ee5fb3e181571740adb8444bd052dbdc?context=cnf
70,new,sat,minisat,sat,1,1,34.08,33.87,0.17,249132,10,d89fc3e9c24e0383e940464f4704657e,https://benchmark-database.de/file/d89fc3e9c24e0383e940464f4704657e?context=cnf
71,new,sat,minisat,error,0,1,1000.11,999.74,0.21,812876,0,98e8aa2ace21d3362ef51524ad546764,https://benchmark-database.de/file/98e8aa2ace21d3362ef51524ad546764?context=cnf
72,new,unsat,minisat,unsat,1,1,2.14,0.90,0.08,17896,20,09cd83e233380d0ba1fc56cee88367b1,https://benchmark-database.de/file/09cd83e233380d0ba1fc56cee88367b1?context=cnf
73,new,sat,minisat,error,0,1,1000.08,999.94,0.10,37824,0,c21096fa2f550785c33dc862d83bc941,https://benchmark-database.de/file/c21096fa2f550785c33dc862d83bc941?context=cnf
74,new,unsat,minisat,error,0,1,1001.05,999.75,0.26,551316,0,35748015c5f16c9ee7e4d1894af497a0,https://benchmark-database.de/file/35748015c5f16c9ee7e4d1894af497a0?context=cnf
75,new,sat,minisat,sat,1,1,105.14,104.71,0.43,971000,10,e9f6eb5654365bb115e6d96405ea9a76,https://benchmark-database.de/file/e9f6eb5654365bb115e6d96405ea9a76?context=cnf
76,new,unsat,minisat,error,0,1,1000.25,999.63,0.39,1593740,0,f626408ec204fd8e1a7924d0e59672e9,https://benchmark-database.de/file/f626408ec204fd8e1a7924d0e59672e9?context=cnf
77,new,unsat,minisat,error,0,1,1000.09,999.87,0.13,75512,0,b99ba7e9113280393c64863dfbfa2c3b,https://benchmark-database.de/file/b99ba7e9113280393c64863dfbfa2c3b?context=cnf
78,new,sat,minisat,error,0,1,1000.20,999.64,0.37,127292,0,7a044c997ede14d00002f1db39d45170,https://benchmark-database.de/file/7a044c997ede14d00002f1db39d45170?context=cnf
79,new,sat,minisat,sat,1,1,219.04,218.76,0.24,713864,10,9dcbf221b8d2bb01f30bcca283f3608d,https://benchmark-database.de/file/9dcbf221b8d2bb01f30bcca283f3608d?context=cnf
80,new,sat,minisat,sat,1,1,69.78,69.55,0.15,135116,10,602c8a200227ab9d64d855164d35b5cf,https://benchmark-database.de/file/602c8a200227ab9d64d855164d35b5cf?context=cnf
81,new,sat,minisat,error,0,1,1000.15,999.53,0.49,1518516,0,ac3887576c2ce781202b9fe0fdc31420,https://benchmark-database.de/file/ac3887576c2ce781202b9fe0fdc31420?context=cnf
82,new,unsat,minisat,error,0,1,1000.20,999.62,0.38,2278952,0,0f269188707a1b2f309dd1c70bfe22b0,https://benchmark-database.de/file/0f269188707a1b2f309dd1c70bfe22b0?context=cnf
83,new,unsat,minisat,unsat,1,1,360.34,360.19,0.12,142000,20,51482a5b06b055edfdca576d654ce191,https://benchmark-database.de/file/51482a5b06b055edfdca576d654ce191?context=cnf
84,new,unsat,minisat,unsat,1,1,0.19,0.06,0.08,18076,20,f6f91f6a44c3953b788c026cbbaa4e91,https://benchmark-database.de/file/f6f91f6a44c3953b788c026cbbaa4e91?context=cnf
85,new,unsat,minisat,error,0,1,1000.09,999.48,0.51,913148,0,062f58e44eb73f9274b57af5092cad90,https://benchmark-database.de/file/062f58e44eb73f9274b57af5092cad90?context=cnf
86,new,sat,minisat,error,0,1,1000.16,999.88,0.14,50084,0,84282cd481f7614f444951064c707030,https://benchmark-database.de/file/84282cd481f7614f444951064c707030?context=cnf
87,new,unsat,minisat,unsat,1,1,320.59,320.30,0.23,415372,20,18d4124324b56e434118f9ef72198d84,https://benchmark-database.de/file/18d4124324b56e434118f9ef72198d84?context=cnf
88,new,unsat,minisat,unsat,1,1,84.00,83.84,0.12,67504,20,b361efe85442bd535849708e2b7ac639,https://benchmark-database.de/file/b361efe85442bd535849708e2b7ac639?context=cnf
89,new,sat,minisat,error,0,1,1000.11,999.36,0.66,3358492,0,2b4467a5ac4ac41b36d4c3432b07f767,https://benchmark-database.de/file/2b4467a5ac4ac41b36d4c3432b07f767?context=cnf
90,new,unsat,minisat,error,0,1,1000.16,999.79,0.20,169760,0,e12874b16df577b301608d03731595d8,https://benchmark-database.de/file/e12874b16df577b301608d03731595d8?context=cnf
91,new,sat,minisat,error,0,1,1000.18,998.87,1.10,3140580,0,032941f5f28c9ac53fa1c80d35f3206f,https://benchmark-database.de/file/032941f5f28c9ac53fa1c80d35f3206f?context=cnf
92,new,sat,minisat,sat,1,1,1.73,1.60,0.10,46392,10,c86b261162cef181dc513963a8acb77f,https://benchmark-database.de/file/c86b261162cef181dc513963a8acb77f?context=cnf
93,new,sat,minisat,error,0,1,1000.10,999.44,0.53,338928,0,cbd0933002d6c4ea99ceb47bb0c3f4c9,https://benchmark-database.de/file/cbd0933002d6c4ea99ceb47bb0c3f4c9?context=cnf
94,new,unsat,minisat,unsat,1,1,699.86,699.67,0.10,18076,20,3f67f6767764855e516e5394be1145e5,https://benchmark-database.de/file/3f67f6767764855e516e5394be1145e5?context=cnf
95,new,unsat,minisat,unsat,1,1,0.10,0.05,0.07,18328,20,d971241ca861121371d20be1d61c15a3,https://benchmark-database.de/file/d971241ca861121371d20be1d61c15a3?context=cnf
96,new,sat,minisat,sat,1,1,60.87,60.56,0.25,403792,10,77bfac6b280653e63013f77d0991484e,https://benchmark-database.de/file/77bfac6b280653e63013f77d0991484e?context=cnf
97,new,sat,minisat,sat,1,1,110.44,110.36,0.08,28456,10,362d153b4162127bc42796180110f483,https://benchmark-database.de/file/362d153b4162127bc42796180110f483?context=cnf
98,new,sat,minisat,error,0,1,1000.22,998.98,1.03,466348,0,3cda1cbfbcabfc71ece7961d4d6ad1bb,https://benchmark-database.de/file/3cda1cbfbcabfc71ece7961d4d6ad1bb?context=cnf
99,new,unsat,minisat,unsat,1,1,61.94,61.87,0.07,135692,20,9a839badecb20dcf505ec79eedd3753a,https://benchmark-database.de/file/9a839badecb20dcf505ec79eedd3753a?context=cnf
0,historical,sat,ver5,timeout,0,1,1010.18,1007.07,2.95,10005196,124,00fd8ac9acd186a7a78a2c4d92f90de1,https://benchmark-database.de/file/00fd8ac9acd186a7a78a2c4d92f90de1?context=cnf
1,historical,unsat,ver5,timeout,0,1,1000.67,1000.19,0.27,392332,0,0205e2dffaef93a90c239df31755f2e1,https://benchmark-database.de/file/0205e2dffaef93a90c239df31755f2e1?context=cnf
2,historical,unsat,ver5,timeout,0,1,1001.02,1000.44,0.38,568020,0,0aa22564d00e9716519918d84b25c4a7,https://benchmark-database.de/file/0aa22564d00e9716519918d84b25c4a7?context=cnf
3,historical,sat,ver5,sat,1,1,533.43,531.79,1.54,2648980,10,0c0430a68f147be18ab3fded07f30fdb,https://benchmark-database.de/file/0c0430a68f147be18ab3fded07f30fdb?context=cnf
4,historical,unsat,ver5,unsat,1,1,485.45,485.25,0.11,62340,20,16ff47a05b769ed6a04c7175cfc6da55,https://benchmark-database.de/file/16ff47a05b769ed6a04c7175cfc6da55?context=cnf
5,historical,sat,ver5,timeout,0,1,1004.67,1002.21,2.25,3539600,0,1753a71fefceb0250a75e67b610050a0,https://benchmark-database.de/file/1753a71fefceb0250a75e67b610050a0?context=cnf
6,historical,unsat,ver5,unsat,1,1,267.24,267.02,0.14,148716,20,1c30806c5aa9cd54bf823c20fa078243,https://benchmark-database.de/file/1c30806c5aa9cd54bf823c20fa078243?context=cnf
7,historical,sat,ver5,sat,1,1,48.10,47.09,0.08,21320,10,22df1827e3253fc824cc7ce806d75e0a,https://benchmark-database.de/file/22df1827e3253fc824cc7ce806d75e0a?context=cnf
8,historical,unsat,ver5,timeout,0,1,1000.89,1000.36,0.30,443560,0,27cb3a6ca772613c5998d7f78a55ba45,https://benchmark-database.de/file/27cb3a6ca772613c5998d7f78a55ba45?context=cnf
9,historical,sat,ver5,timeout,0,1,1001.27,1000.09,0.14,86376,0,2d0c041c0fe72dc32527bfbf34f63e61,https://benchmark-database.de/file/2d0c041c0fe72dc32527bfbf34f63e61?context=cnf
10,historical,unsat,ver5,unsat,1,1,133.10,132.79,0.08,59204,20,3197b65ef50328394a0c9e73281d7122,https://benchmark-database.de/file/3197b65ef50328394a0c9e73281d7122?context=cnf
11,historical,sat,ver5,sat,1,1,650.59,650.43,0.10,58268,10,3bfa92996634d2ddc6c0568bba9a0f99,https://benchmark-database.de/file/3bfa92996634d2ddc6c0568bba9a0f99?context=cnf
12,historical,unsat,ver5,timeout,0,1,1000.75,1000.30,0.29,346856,0,3c129545f090ef08b6ef89a2903ff83e,https://benchmark-database.de/file/3c129545f090ef08b6ef89a2903ff83e?context=cnf
13,historical,sat,ver5,timeout,0,1,1000.60,1000.28,0.16,121836,0,465795fa2641c616ce76de8501672a19,https://benchmark-database.de/file/465795fa2641c616ce76de8501672a19?context=cnf
14,historical,unsat,ver5,unsat,1,1,206.50,206.24,0.14,86868,20,47f5872181a581dff34eb33123fe3242,https://benchmark-database.de/file/47f5872181a581dff34eb33123fe3242?context=cnf
15,historical,sat,ver5,timeout,0,1,1010.06,1005.52,4.39,6162580,124,4d6e18e506b7e62d3f32cc775219be24,https://benchmark-database.de/file/4d6e18e506b7e62d3f32cc775219be24?context=cnf
16,historical,unsat,ver5,timeout,0,1,1000.77,1000.30,0.31,346780,0,5314fd6ccb53b6f6af49a594ea68a273,https://benchmark-database.de/file/5314fd6ccb53b6f6af49a594ea68a273?context=cnf
17,historical,sat,ver5,timeout,0,1,1000.57,1000.21,0.16,79516,0,59fc779feee4390b57502814d424e0d6,https://benchmark-database.de/file/59fc779feee4390b57502814d424e0d6?context=cnf
18,historical,unsat,ver5,unsat,1,1,1.54,1.38,0.04,18012,20,5c24cfeff639fefdead9a5641f65fa22,https://benchmark-database.de/file/5c24cfeff639fefdead9a5641f65fa22?context=cnf
19,historical,sat,ver5,timeout,0,1,1010.07,1008.14,1.68,6478600,124,6415a71364351c0a521fdee510bc2589,https://benchmark-database.de/file/6415a71364351c0a521fdee510bc2589?context=cnf
20,historical,unsat,ver5,timeout,0,1,1001.37,1000.99,0.22,342460,0,65f7145996bbec02b90bd0fa64a20502,https://benchmark-database.de/file/65f7145996bbec02b90bd0fa64a20502?context=cnf
21,historical,sat,ver5,sat,1,1,0.17,0.05,0.07,17848,10,69f6dd335626a9b71bfc6f2332f52b9d,https://benchmark-database.de/file/69f6dd335626a9b71bfc6f2332f52b9d?context=cnf
22,historical,unsat,ver5,timeout,0,1,1000.92,1000.59,0.17,80832,0,6fab31665147f538da92dc16c3a239ad,https://benchmark-database.de/file/6fab31665147f538da92dc16c3a239ad?context=cnf
23,historical,sat,ver5,timeout,0,1,1005.50,1003.73,1.67,5973452,0,753757e87d34bd1075c413d801bf99b8,https://benchmark-database.de/file/753757e87d34bd1075c413d801bf99b8?context=cnf
24,historical,unsat,ver5,timeout,0,1,1000.63,1000.19,0.26,178600,0,7bdf3e5401cc263951003b569bcd689c,https://benchmark-database.de/file/7bdf3e5401cc263951003b569bcd689c?context=cnf
25,historical,sat,ver5,timeout,0,1,1001.09,1000.58,0.32,392340,0,7e58b502cc9dbef5f76d5161fb9a09b2,https://benchmark-database.de/file/7e58b502cc9dbef5f76d5161fb9a09b2?context=cnf
26,historical,sat,ver5,sat,1,1,305.37,304.84,0.43,866776,10,88849daabda2e712f659c6edbc142229,https://benchmark-database.de/file/88849daabda2e712f659c6edbc142229?context=cnf
27,historical,unsat,ver5,timeout,0,1,1000.77,1000.38,0.20,130164,0,8b267f95678c90b2179944de7233b090,https://benchmark-database.de/file/8b267f95678c90b2179944de7233b090?context=cnf
28,historical,sat,ver5,sat,1,1,146.49,146.32,0.10,54308,10,931621d9964e9d0cd1c4001822015c92,https://benchmark-database.de/file/931621d9964e9d0cd1c4001822015c92?context=cnf
29,historical,unsat,ver5,unsat,1,1,32.26,32.13,0.05,18524,20,965bc4f6691b2e5f7388aaa9ba68f768,https://benchmark-database.de/file/965bc4f6691b2e5f7388aaa9ba68f768?context=cnf
30,historical,unsat,ver5,timeout,0,1,1001.03,1000.61,0.17,66508,0,99718c1729a8de3347a9946f1836421d,https://benchmark-database.de/file/99718c1729a8de3347a9946f1836421d?context=cnf
31,historical,sat,ver5,sat,1,1,33.83,33.68,0.10,33408,10,9b998be0c639d06988c4902eb125c0b7,https://benchmark-database.de/file/9b998be0c639d06988c4902eb125c0b7?context=cnf
32,historical,unsat,ver5,unsat,1,1,60.63,60.45,0.13,103344,20,a1fdd60d2570f47fb14956ac9e96951f,https://benchmark-database.de/file/a1fdd60d2570f47fb14956ac9e96951f?context=cnf
33,historical,sat,ver5,sat,1,1,948.74,948.35,0.19,343052,10,a2ca167a8fdbf165f40b5d6dee94b040,https://benchmark-database.de/file/a2ca167a8fdbf165f40b5d6dee94b040?context=cnf
34,historical,unsat,ver5,timeout,0,1,1002.52,1001.51,0.72,2219736,0,ad69e0a0880cd377e26260f7e4bc6d51,https://benchmark-database.de/file/ad69e0a0880cd377e26260f7e4bc6d51?context=cnf
35,historical,sat,ver5,sat,1,1,81.87,81.71,0.09,48648,10,b3d3680b3287a989ce61a6db1054efd2,https://benchmark-database.de/file/b3d3680b3287a989ce61a6db1054efd2?context=cnf
36,historical,sat,ver5,timeout,0,1,1000.45,1000.15,0.15,111352,0,c0074020a48535e6062421cea2850dd0,https://benchmark-database.de/file/c0074020a48535e6062421cea2850dd0?context=cnf
37,historical,unsat,ver5,unsat,1,1,948.31,948.00,0.12,63108,20,c0e828fb967fc4f0935cf06c6a6b1055,https://benchmark-database.de/file/c0e828fb967fc4f0935cf06c6a6b1055?context=cnf
38,historical,sat,ver5,sat,1,1,50.40,50.23,0.10,23156,10,ca3c65a863526793968fc30618a42709,https://benchmark-database.de/file/ca3c65a863526793968fc30618a42709?context=cnf
39,historical,sat,ver5,sat,1,1,81.89,81.49,0.33,613348,10,d2af3fde615d7c4d4a4574fc8839970e,https://benchmark-database.de/file/d2af3fde615d7c4d4a4574fc8839970e?context=cnf
40,historical,unsat,ver5,timeout,0,1,1001.18,1000.71,0.25,368352,0,d3e4e0f01836bb359725c6aa5072afce,https://benchmark-database.de/file/d3e4e0f01836bb359725c6aa5072afce?context=cnf
41,historical,unsat,ver5,timeout,0,1,1001.59,1001.11,0.28,372784,0,d88a8a62342be0ef04bd3b429f311352,https://benchmark-database.de/file/d88a8a62342be0ef04bd3b429f311352?context=cnf
42,historical,unsat,ver5,timeout,0,1,1005.42,1004.91,0.35,520584,0,de8988028668791f35a7b9f94353b5b9,https://benchmark-database.de/file/de8988028668791f35a7b9f94353b5b9?context=cnf
43,historical,sat,ver5,sat,1,1,620.46,620.18,0.14,62432,10,e318e2ac78b473091c3c2197afd7fc98,https://benchmark-database.de/file/e318e2ac78b473091c3c2197afd7fc98?context=cnf
44,historical,unsat,ver5,timeout,0,1,1001.13,1000.24,0.30,341032,0,ebbda8d90dfd9b6500bf932f952907a6,https://benchmark-database.de/file/ebbda8d90dfd9b6500bf932f952907a6?context=cnf
45,historical,sat,ver5,timeout,0,1,1001.08,1000.48,0.36,300128,0,ed6d842f96d10f3400bce251f9e95bfb,https://benchmark-database.de/file/ed6d842f96d10f3400bce251f9e95bfb?context=cnf
46,historical,sat,ver5,timeout,0,1,1000.91,1000.62,0.16,67716,0,f33a6163305d6559043b7438a692dea9,https://benchmark-database.de/file/f33a6163305d6559043b7438a692dea9?context=cnf
47,historical,unsat,ver5,unsat,1,1,573.67,572.69,0.78,1337696,20,f6a085f3c728e53f57542e62df20e56b,https://benchmark-database.de/file/f6a085f3c728e53f57542e62df20e56b?context=cnf
